Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-10 00:00:00-05:00,150.42451850035687,152.21438411801313,149.36386167518737,152.01551818847656,783300,0.0,0.0
2020-11-11 00:00:00-05:00,152.66893923758172,154.17469597840395,151.1726474846219,152.5458221435547,426000,0.0,0.0
2020-11-12 00:00:00-05:00,152.51743201569715,153.40763229967786,150.19723806405776,151.38101196289062,305200,0.0,0.0
2020-11-13 00:00:00-05:00,152.54586543132586,153.88116606736264,150.40560708766805,152.92466735839844,328400,0.0,0.0
2020-11-16 00:00:00-05:00,154.5534986676614,155.07436201028764,149.39224798242978,150.60443115234375,458600,0.0,0.0
2020-11-17 00:00:00-05:00,150.72757937731862,151.51360704755672,149.1176496269942,150.4340057373047,521400,0.0,0.0
2020-11-18 00:00:00-05:00,151.03058582610464,151.96813983669716,148.6346289160647,150.3013916015625,424600,0.0,0.0
2020-11-19 00:00:00-05:00,150.3392475467331,154.36407779601572,147.4887259134889,152.96249389648438,493400,0.0,0.0
2020-11-20 00:00:00-05:00,153.1803126465611,153.68223152578827,151.57984833529025,151.68402099609375,402400,0.0,0.0
2020-11-23 00:00:00-05:00,151.6177377246509,153.0193217065187,151.02111116971028,151.51356506347656,327300,0.0,0.0
2020-11-24 00:00:00-05:00,152.04391831095637,152.51742785758012,148.71987204542438,148.80511474609375,732800,0.0,0.0
2020-11-25 00:00:00-05:00,149.8941558651986,150.87906364973193,148.22740774184652,149.50587463378906,572200,0.0,0.0
2020-11-27 00:00:00-05:00,150.2161844788835,150.56659141752786,148.08539122783222,149.43963623046875,270900,0.0,0.0
2020-11-30 00:00:00-05:00,149.96993111096896,153.4738985604513,148.57781200922477,152.3374786376953,1348800,0.0,0.0
2020-12-01 00:00:00-05:00,153.15410309559385,154.66391033806218,152.06211790672342,153.2015838623047,766000,0.43,0.0
2020-12-02 00:00:00-05:00,153.33450744671006,154.62590594332224,151.1885131829831,151.91017150878906,361000,0.0,0.0
2020-12-03 00:00:00-05:00,151.18852154324236,152.06211256144948,148.67220037607487,150.03955078125,500200,0.0,0.0
2020-12-04 00:00:00-05:00,150.8656714647705,152.33747371780356,149.9161141458615,150.48583984375,481100,0.0,0.0
2020-12-07 00:00:00-05:00,149.3179200458351,151.9007176598098,149.3179200458351,150.49537658691406,525400,0.0,0.0
2020-12-08 00:00:00-05:00,150.80868289050997,152.3374560874945,150.21994756833737,151.9291534423828,748700,0.0,0.0
2020-12-09 00:00:00-05:00,151.56832550187258,151.7582485455201,149.01401414920926,149.0804901123047,687000,0.0,0.0
2020-12-10 00:00:00-05:00,149.45085763410634,149.8211844876915,145.9564929119796,146.07992553710938,612300,0.0,0.0
2020-12-11 00:00:00-05:00,145.5196678212111,148.21640729072692,145.07337469551922,147.9600372314453,672500,0.0,0.0
2020-12-14 00:00:00-05:00,148.5962397255633,151.02710430196123,148.52976375414664,149.44134521484375,584500,0.0,0.0
2020-12-15 00:00:00-05:00,150.10603383987288,150.89416821168672,147.855587463733,150.5998077392578,375700,0.0,0.0
2020-12-16 00:00:00-05:00,150.95111318137958,152.53687200806021,150.6187623570715,151.14102172851562,491400,0.0,0.0
2020-12-17 00:00:00-05:00,152.24252471617282,154.83481210641978,150.7707079930243,154.54994201660156,603100,0.0,0.0
2020-12-18 00:00:00-05:00,155.49947561315594,156.9997776676151,152.62231857179134,153.4769287109375,1168800,0.0,0.0
2020-12-21 00:00:00-05:00,151.03659199462712,151.47339475725482,146.74458865254127,150.22947692871094,547700,0.0,0.0
